timestamp,badge_id,door_id,action,room,motion_detected,occupancy_sensor,anomaly_flag
2025-01-01 06:01:26,EMP008,Door_A,exit,Office_1,0,0,0
2025-01-01 06:02:57,EMP048,Server_Room,entry,Lab,1,0,0
2025-01-01 06:03:29,EMP015,Server_Room,entry,Lab,0,1,0
2025-01-01 06:04:49,EMP018,Door_A,entry,Server_Room,1,1,0
2025-01-01 06:05:21,EMP049,Door_C,entry,Lobby,1,0,0
2025-01-01 06:06:10,EMP039,Door_C,entry,Server_Room,1,0,0
2025-01-01 06:07:03,EMP006,Server_Room,exit,Server_Room,1,0,0
2025-01-01 06:07:13,EMP043,Door_B,exit,Lobby,0,0,0
2025-01-01 06:08:16,EMP041,Door_C,entry,Office_2,1,0,0
2025-01-01 06:09:50,EMP044,Main_Gate,entry,Lab,0,0,0
2025-01-01 06:10:43,EMP018,Main_Gate,entry,Server_Room,1,0,0
2025-01-01 06:10:52,EMP021,Lab_1,exit,Lobby,0,1,0
2025-01-01 06:12:00,EMP026,Main_Gate,exit,Office_1,1,0,0
2025-01-01 06:13:16,EMP035,Door_C,exit,Lab,1,1,0
2025-01-01 06:13:38,EMP033,Lab_1,entry,Lobby,0,0,0
2025-01-01 06:15:24,EMP044,Lab_1,entry,Meeting_Room,1,1,0
2025-01-01 06:16:39,EMP001,Main_Gate,entry,Server_Room,1,1,0
2025-01-01 06:17:39,EMP011,Lab_1,entry,Server_Room,1,0,0
2025-01-01 06:17:57,EMP041,Door_C,entry,Office_1,1,0,0
2025-01-01 06:19:41,EMP034,Door_A,exit,Meeting_Room,0,0,0
2025-01-01 06:21:38,EMP020,Door_B,entry,Office_1,0,0,0
2025-01-01 06:23:27,EMP005,Server_Room,entry,Office_1,1,0,0
2025-01-01 06:25:23,EMP039,Lab_1,entry,Lab,0,1,0
2025-01-01 06:26:53,EMP042,Door_C,exit,Lab,1,0,0
2025-01-01 06:27:06,EMP022,Door_A,entry,Lab,0,0,0
2025-01-01 06:28:31,EMP004,Door_B,entry,Lobby,1,0,0
2025-01-01 06:29:11,EMP043,Lab_1,entry,Lab,0,1,0
2025-01-01 06:30:16,EMP027,Door_B,entry,Lobby,1,1,0
2025-01-01 06:31:20,EMP047,Door_A,entry,Lobby,1,1,0
2025-01-01 06:31:38,EMP016,Door_B,entry,Lab,1,0,0
2025-01-01 06:32:18,EMP030,Door_B,entry,Meeting_Room,0,0,0
2025-01-01 06:33:32,EMP001,Door_A,entry,Office_1,1,1,0
2025-01-01 06:35:27,EMP026,Door_A,entry,Meeting_Room,0,1,0
2025-01-01 06:37:12,EMP030,Door_C,exit,Server_Room,1,0,0
2025-01-01 06:37:44,EMP004,Server_Room,entry,Server_Room,1,0,0
2025-01-01 06:38:50,EMP033,Server_Room,entry,Lobby,0,0,0
2025-01-01 06:39:03,EMP044,Door_B,exit,Lobby,0,0,0
2025-01-01 06:40:01,EMP043,Server_Room,exit,Office_2,0,1,0
2025-01-01 06:40:56,EMP009,Main_Gate,exit,Meeting_Room,1,0,1
2025-01-01 06:42:20,EMP037,Door_A,entry,Lab,0,1,0
2025-01-01 06:43:09,EMP005,Door_B,exit,Office_2,0,1,0
2025-01-01 06:44:44,EMP020,Server_Room,entry,Server_Room,1,0,0
2025-01-01 06:45:06,EMP017,Door_A,entry,Server_Room,0,1,0
2025-01-01 06:45:37,EMP046,Door_C,entry,Server_Room,1,1,0
2025-01-01 06:47:30,EMP004,Door_A,exit,Office_2,0,0,0
2025-01-01 06:47:51,EMP041,Door_C,entry,Server_Room,1,1,0
2025-01-01 06:48:10,EMP005,Main_Gate,entry,Lab,0,1,0
2025-01-01 06:48:33,EMP028,Door_B,entry,Office_2,1,0,0
2025-01-01 06:49:04,EMP044,Door_B,entry,Office_2,1,0,0
2025-01-01 06:49:39,EMP011,Door_B,exit,Lobby,0,1,0
2025-01-01 06:50:36,EMP043,Main_Gate,entry,Office_2,0,0,0
2025-01-01 06:50:45,EMP031,Door_B,entry,Meeting_Room,1,1,0
2025-01-01 06:52:41,EMP015,Door_B,entry,Server_Room,0,1,0
2025-01-01 06:54:36,EMP005,Door_C,exit,Server_Room,1,1,0
2025-01-01 06:54:55,EMP017,Door_B,exit,Lobby,0,1,0
2025-01-01 06:56:40,EMP021,Lab_1,entry,Meeting_Room,0,1,0
2025-01-01 06:57:40,EMP001,Server_Room,entry,Office_2,1,0,0
